Date Finished, Base Config, Name, Prune Rate, Current Val Top 1, Current Val Top 5, Best Val Top 1, Best Val Top 5, Best Train Top 1, Best Train Top 5
03-05-20_11:27:07, configs/smallscale/conv4/conv4_usc_unsigned.yml, example, 0.5, 85.69, 99.40, 86.02, 99.44, 93.25, 99.90
03-05-20_11:52:22, configs/smallscale/conv4/conv4_usc_unsigned.yml, example, 0.5, 85.89, 99.27, 85.89, 99.36, 93.32, 99.89
03-05-20_12:34:05, configs/smallscale/conv4/conv4_usc_unsigned.yml, example, 0.5, 85.57, 99.32, 85.65, 99.32, 93.48, 99.89
03-05-20_13:03:00, configs/smallscale/conv4/conv4_usc_unsigned.yml, example, 0.5, 85.95, 99.42, 86.06, 99.42, 93.32, 99.92
03-05-20_13:44:04, configs/smallscale/conv4/conv4_usc_unsigned.yml, example, 0.5, 85.71, 99.38, 85.81, 99.46, 93.33, 99.90
03-05-20_14:35:31, configs/smallscale/conv2/conv2_usc_unsigned.yml, conv2_usc_unsigned, 0.5, 77.89, 98.63, 78.46, 98.83, 83.02, 99.30
03-05-20_15:29:07, configs/smallscale/conv2/conv2_usc_unsigned.yml, conv2_usc_unsigned, 0.5, 77.97, 98.48, 78.05, 98.67, 82.65, 99.29
03-05-20_17:49:31, configs/smallscale_baselines/dense/conv2/conv2_adam_baseline.yml, conv2_adam_baseline, 0.0, 79.16, 98.77, 79.80, 98.81, 88.93, 99.76
03-05-20_17:49:53, configs/smallscale_baselines/dense/conv4/conv4_adam_baseline.yml, conv4_adam_baseline, 0.0, 86.66, 99.38, 86.80, 99.45, 96.94, 99.99
03-05-20_17:51:20, configs/smallscale_baselines/dense/conv6/conv6_adam_baseline.yml, conv6_adam_baseline, 0.0, 87.82, 99.30, 88.18, 99.50, 97.98, 100.00
03-05-20_17:57:40, configs/smallscale/conv2/conv2_ukn_unsigned.yml, conv2_ukn_unsigned, 0.3, 74.66, 98.27, 75.04, 98.37, 78.09, 98.84
03-05-20_18:00:49, configs/smallscale/conv4/conv4_ukn_unsigned.yml, conv4_ukn_unsigned, 0.3, 83.59, 99.23, 83.59, 99.23, 88.14, 99.65
03-05-20_18:01:17, configs/smallscale_baselines/dense/conv8/conv8_adam_baseline.yml, conv8_adam_baseline, 0.0, 88.81, 99.23, 88.81, 99.46, 98.33, 99.99
03-05-20_18:07:17, configs/smallscale_baselines/dense/conv2/conv2_sgd_baseline.yml, conv2_sgd_baseline, 0.0, 78.13, 98.58, 78.47, 98.61, 86.05, 99.59
03-05-20_18:07:49, configs/smallscale/conv6/conv6_ukn_unsigned.yml, conv6_ukn_unsigned, 0.3, 85.81, 99.41, 85.83, 99.46, 93.78, 99.92
03-05-20_18:13:26, configs/smallscale_baselines/dense/conv4/conv4_sgd_baseline.yml, conv4_sgd_baseline, 0.0, 86.21, 99.35, 86.30, 99.40, 95.25, 99.96
03-05-20_18:16:24, configs/smallscale_baselines/dense/conv6/conv6_sgd_baseline.yml, conv6_sgd_baseline, 0.0, 88.43, 99.50, 88.67, 99.50, 99.22, 100.00
03-05-20_18:21:07, configs/smallscale_baselines/dense/conv8/conv8_sgd_baseline.yml, conv8_sgd_baseline, 0.0, 89.05, 99.51, 89.22, 99.54, 99.61, 100.00
03-05-20_18:29:07, configs/smallscale/conv8/conv8_ukn_unsigned.yml, conv8_ukn_unsigned, 0.3, 87.09, 99.49, 87.20, 99.57, 97.45, 99.99
03-05-20_18:40:41, configs/smallscale/conv2/conv2_ukn_unsigned.yml, conv2_ukn_unsigned, 0.5, 75.61, 98.33, 75.69, 98.39, 78.75, 98.89
03-05-20_18:42:39, configs/smallscale/conv4/conv4_ukn_unsigned.yml, conv4_ukn_unsigned, 0.5, 83.60, 99.20, 83.91, 99.28, 88.64, 99.68
03-05-20_18:55:57, configs/smallscale/conv6/conv6_ukn_unsigned.yml, conv6_ukn_unsigned, 0.5, 86.78, 99.47, 86.98, 99.48, 94.39, 99.93
03-05-20_19:23:16, configs/smallscale/conv2/conv2_ukn_unsigned.yml, conv2_ukn_unsigned, 0.7, 71.54, 97.27, 71.54, 97.27, 72.38, 97.99
03-05-20_19:23:57, configs/smallscale/conv4/conv4_ukn_unsigned.yml, conv4_ukn_unsigned, 0.7, 78.98, 98.64, 78.98, 98.66, 81.61, 99.03
03-05-20_19:42:05, configs/smallscale/conv8/conv8_ukn_unsigned.yml, conv8_ukn_unsigned, 0.5, 87.96, 99.52, 87.99, 99.56, 97.68, 99.99
